almacenamiento,cpu,departamento,descripcion,dns,estado,hostname,hypervisor,id,ipadmin,ipprod,namekey,ram,servicio,sistema,tipo,ubicacion
31,1,sistemas,Herramienta ansible web,ansible.encontrack.com,True,srvansiblesisplvfl01,VMware,2,192.168.3.68,192.168.3.68,ansible_sis,2,ansible,CentOS,virtual,miami
20,2,sistemas,nginx proxy MFV,nginx_02.amtelser.com,True,srvnginxplvfl02,vmware,5,10.190.6.100,10.190.7.9,nginx_prod02,2,nginx,Centos Linux 7.8,virtual,miami
20,2,sistemas,nginx como proxy servicios de backend como MFV,api.encontrack.com,True,srvnginxapiplvfl01,vmware,6,10.190.5.67,10.190.6.67,nginx_api,2,nginx,Centos Linux 7.8,virtual,miami
10,1,sistemas,nginx aws como proxy para aplicaciones como flotcon,nginx-aws.amtelser.com,True,srvnginxplvaws01,aws,7,172.31.50.115,35.175.166.20,nginx_aws,2,nginx,Centos Linux 7.8,virtual,aws
20,6,I&D,servidor de comunicaciones,siscom01.amtelser.com,True,srvsiscomplvfl01,vmware,8,10.190.5.163,10.190.6.163,siscom_01,8,supervisor,Centos Linux 6.8,virtual,miami
20,6,I&D,Servidor de comunicaciones,siscom02.amtelser.com,True,srvsiscomplvfl02,vmware,9,10.190.5.164,10.190.6.164,siscom_02,8,supervisor,Centos Linux 6.8,virtual,miami
20,6,I&D,Servidor de comunicaciones,siscom03.amtelser.com,True,srvsiscomplv03,vmware,10,10.190.5.165,10.190.6.165,siscom_03,8,supervisor,Centos Linux 6.8,virtual,miami
20,6,I&D,Servidor de comunicaciones,siscom04.amtelser.com,True,srvsiscomplvfl04,vmware,11,10.190.5.166,10.190.6.166,siscom_04,8,supervisor,Centos Linux 6.8,virtual,miami
20,12,I&D,Servidor de comunicaciones,siscom05.amtelser.com,True,srvsiscomplvfl05,vmware,12,10.190.5.167,10.190.6.167,siscom_05,6,supervisor,Centos Linux 6.8,virtual,miami
20,12,I&D,servidor de comunicaciones,siscom06.amtelser.com,True,srvsiscomplvfl06,vmware,13,10.190.5.168,10.190.6.168,siscom_06,8,supervisor,Centos Linux 6.8,virtual,miami
25,8,I&D,servidor de comunicaciones,siscom07.amtelser.com,True,srvsiscomplvfl07,vmware,14,10.190.5.169,10.190.6.169,siscom_07,8,supervisor,Centos Linux 6.9,virtual,miami
200,4,I&D,servidor de comunicaciones,siscom08.amtelser.com,True,srvsiscomplvfl08,vmware,15,10.190.5.171,10.190.6.171,siscom_08,12,supervisor,Centos Linux 6.9,virtual,miami
20,10,I&D,servidor de comunicaciones,siscom09.amtelser.com,True,srvsicomplvfl09,vmware,16,10.190.5.197,10.190.6.197,siscom_09,8,supervisor,Centos Linux 6.9,virtual,miami
20,12,I&D,servidor de comunicaciones,siscom10.amtelser.com,True,srvsiscomplvfl10,vmware,17,10.190.5.223,10.190.6.223,siscom_10,8,supervisor,Centos Linux 7.6,virtual,miami
20,6,I&D,servidor de comunicaciones,siscom11.amtelser.com,True,srvsiscomplvfl11,vmware,18,10.190.5.50,10.190.6.50,siscom_11,6,supervisor,Centos Linux 7.6,virtual,miami
20,6,I&D,servidor de comunicaciones,siscom12.amtelser.com,True,srvsiscomplvfl12,vmware,19,10.190.5.49,10.190.6.49,siscom_12,12,supervisor,Centos Linux 7.6,virtual,miami
20,4,I&D,Servidor con servicio kafka connect 01,kafka-connect01.amtelser.com,True,srvkafkaconnectplvfl01,vmware,20,10.190.5.149,10.190.6.149,kafka-connect01,5,kafkaconnect,Centos Linux 7.8,virtual,miami
20,4,I&D,Servidor con servicio kafka connect 02,kafka-connect02.amtelser.com,True,srvkafkaconnectplvfl02,vmware,21,10.190.5.150,10.190.6.150,kafka-connect02,5,kafkaconnect,Centos Linux 7.8,virtual,miami
20,4,I&D,Servidor con servicio kafka connect 03,kafka-connect03.amtelser.com,True,srvkafkaconnectplvfl03,vmware,22,10.190.5.151,10.190.6.151,kafka-connect03,5,kafkaconnect,Centos Linux 7.8,virtual,miami
22,4,I&D,kafka connect aws 01,aws-kafka-connect-01.eps-encontrack.com,True,srvkafkaconnectplvaws01,aws,23,172.31.49.37,172.31.49.37,kafka-connect-aws01,8,kafkaconnect,Centos Linux 7.8,virtual,aws
22,2,I&D,Servidor de ksql01 en AWS,aws-ksql-01.eps-encontrack.com,True,srvksqlplvaws01,aws,24,172.31.57.247,172.31.57.247,ksql-aws-01,8,ksql,Centos Linux 7.8,virtual,aws
22,2,I&D,Servidor de ksql02 en AWS,aws-ksql-02.eps-encontrack.com,True,srvksqlplvaws02,aws,25,172.31.4.45,172.31.4.45,ksql-aws-02,8,ksql,Centos Linux 7.8,virtual,aws
6600,16,I+D,cache comunicaciones secundario,cache-com2.encontrack.com,True,dbcachecomunicacionesplffl02,RedHat,26,10.190.6.118,10.190.5.118,cache-comu-sec,128,cache,Red Hat Enterprise 7.6,fisico,miami
1500,12,I+D,base de datos cpv1,cpv1.encontrack.com,True,dbcpvplvfl01,vmware,27,10.190.5.146,10.190.6.146,cpv1,34,mysql,Red Hat Enterprise 6.8,virtual,miami
400,6,I+D,base de datos cpv2,cpv2.encontrack.com,True,dbcpvplvfl02,vmware,28,10.190.5.147,10.190.6.147,cpv2,21,mysql,Red Hat Enterprise 6.8,virtual,miami
760,9,I+D,Base de datos riesgos DB,riesgos.encontrack.com,True,dbriesgosplvfl01,vmware,29,10.190.5.194,10.190.6.194,riesgos_db,21,cache,Red Hat Enterprise 6.10,virtual,miami
20,2,I+D,base de datos intranet,bd-intranet.encontrack.com,True,dbintranetplfl01,vmware,30,10.190.5.208,10.190.6.208,intranet_db,2,mysql,Centos Linux 7.8,virtual,miami
60,2,SIO,Pagina de encontrack principal informativa del cliente,www.encontrack.com,True,srvencontrackplvaws01,aws,31,172.31.1.35,172.31.1.35,encontrack-page,2,lamp-server,Centos Linux 7.8,virtual,aws
60,2,SIO,SIO repostes,resportesaws.encontrack.com,True,srvsioreportesplvaws01,aws,32,172.31.10.69,172.31.10.69,sio_reportes,4,LAMP,Centos Linux 7.8,virtual,aws
47,6,I+D,Herrmientas de administracion de siscom,siscomtools.amtelser.com,True,srvsiscomtoolsplvfl01,vmware,33,10.190.5.162,10.190.6.162,siscom_tools,7,supervisor,Centos Linux 6.9,virtual,miami
32,8,I+D,Servidor repositorio de datos,reposiscom.amtelser.com,True,srvschavionplvfl01,vmware,34,10.190.5.51,10.190.5.51,trac_repo,4,trac,Centos Linux 6.9,virtual,miami
